PID,category code,subcategory code
GSCT-K8D,15,1
LJL5-5MN,1,1
LJL5-5MN,1,2
LJL5-5MN,1,6
LJL5-5MN,9,1
LJL5-5MN,12,2
LYWP-DCK,1,1
LQR4-Z4L,3,2
L465-6VG,1,1
L465-6VG,1,3
L13K-6DR,0,1
GSC2-782,0,1
GSC2-782,3,3
MGY4-LZC,11,1
GMR3-JTR,4,1
LZDS-TS4,6,1
LZDS-TS4,7,1
GSCT-96R,2,1
GSCT-8RC,8,1
LY6H-G86,1,1
L565-WN5,1,1
KFR4-7ZL,10,2
MHTP-R9Q,7,1
LKN2-YL2,8,1
GSCK-FH1,8,1
L74G-89P,2,1
MNDL-N7S,0,1
MNDL-N7S,3,2
GSCT-4NX,2,1
MWHZ-53G,1,5
MWHZ-53G,9,1
9VS8-ZRK,4,1
L7MN-F8S,0,1
L7MN-F8S,6,2
L89P-SSK,3,1
L89P-SSK,3,2
GSCK-P45,7,1
GSSK-259,4,1
MWHN-JYH,1,1
MWHN-JYH,1,2
L46G-2PX,11,1
GSCB-JQ5,2,1
GSCR-PNB,6,1
GSCY-THT,2,1
LB5V-83S,0,2
LB5V-83S,7,1
LKS2-HC1,0,1
L2YM-5TJ,4,1
L2YM-5TJ,4,2
GSC1-VD3,6,6
GSC1-VD3,6,7
LRP2-9JT,8,1
LTSJ-TXJ,0,1
LTGZ-KGF,1,6
LK73-MRG,0,1
LK73-MRG,6,1
LV5X-3GC,0,1
LV5X-3GC,3,2
LV5X-3GC,5,1
LKF1-KRC,4,1
GMCM-MM2,5,1
K2P1-PYM,6,1
G97W-KY2,1,6
LRTW-P4Y,0,1
LRTW-P4Y,6,1
L2TN-HJY,5,1
KCXM-JF4,4,1
GSCT-Z7K,0,1
GSCT-Z7K,3,4
G9G7-TS1,1,1
G9G7-TS1,1,2
GSC2-NR9,8,1
GSC2-NR9,8,2
L5VL-QPV,0,2
99MZ-7L7,0,1
99MZ-7L7,1,1
L1Q3-25K,18,1
GSCY-3JF,2,1
L79K-8T5,2,1
L4YZ-Z73,18,1
GSCR-ZTG,4,1
GSCB-XTR,1,3
GSCR-4LQ,0,1
GSCR-4LQ,6,3
LR5R-WMV,6,1
LR5R-WMV,7,1
LR5R-WMV,13,1
LR5R-WMV,14,2
G9WK-JF6,9,1
L4DZ-KX6,2,1
GSCK-ZT6,11,1
GSCP-SHW,3,2
GSCY-R6S,4,1
GSCK-TD8,3,4
L7XS-1MZ,3,2
L7XS-1MZ,3,3
GSCR-ZDD,3,1
GSCR-C55,4,1
GSCY-S28,4,1
GSCT-WDB,0,1
GSCT-WDB,0,2
GSCY-8C9,15,1
L21Q-LVL,6,1
GSCR-17N,1,2
LXS2-Y71,1,6
LXS2-Y71,3,5
L2KG-NP8,0,1
L2KG-NP8,3,2
L5BB-5DL,1,5
LQ1F-PFX,1,1
LYBQ-SS4,2,1
GSCT-5MD,0,2
GSCT-5MD,12,2
L45T-SFP,10,1
LVD6-SN1,1,1
LVD6-SN1,1,2
LBCZ-QT7,14,2
L84M-CM4,1,1
L84M-CM4,2,1
GSCT-PY5,0,1
GSCT-PY5,1,3
GSCT-PY5,3,3
G9G2-DC2,0,2
G9G2-DC2,3,1
9CXG-QPN,1,3
9CXG-QPN,12,1
LV74-PP5,2,1
LK1Q-Y87,2,1
GM23-JB1,0,2
GSC2-3FQ,13,3
2993-C2N,8,3
L48H-ZZ4,6,1
L48H-ZZ4,8,2
GSC2-96B,1,1
GSCT-H5F,5,1
9ZMT-JJM,4,1
G9V9-D8T,1,3
G9V9-D8T,3,5
KHWV-CCD,11,1
KHWV-CCD,12,2
LTWC-T7Z,1,1
K8BL-BHQ,1,4
L4RQ-949,18,1
L18J-31Z,2,1
KJPN-TM7,5,1
LYLC-4V9,9,1
LDJM-GHW,0,2
LDJM-GHW,3,2
L1ZF-RR4,3,5
GSCY-LTZ,3,4
LW6T-RGJ,2,1
GSC2-TCG,0,2
M1ND-7YH,10,1
GSC1-6HX,0,2
GSC1-6HX,10,1
9QWT-JX8,0,2
9QWT-JX8,1,1
9QWT-JX8,8,2
LTX1-GTZ,1,1
LTX1-GTZ,1,2
LTX1-GTZ,3,2
GSCT-NPT,1,1
GSCL-9BM,0,2
GSCL-9BM,3,4
GSCL-9BM,10,1
L2HJ-6DH,3,1
L2HJ-6DH,3,2
GMFC-D1P,7,1
GMFC-D1P,10,1
GSCT-HVC,7,1
GSCT-XMW,1,1
GSCT-2SY,1,2
LZ28-JWF,4,1
LD19-FLJ,0,1
LD19-FLJ,3,2
LD19-FLJ,6,3
LD19-FLJ,11,1
GSC2-GQ2,2,1
LTNV-4QL,5,1
MC56-4LQ,4,1
MC56-4LQ,6,1
GSC1-27L,10,1
GSC1-27L,16,1
GSCT-FG2,5,1
GSCT-FG2,14,1
94DK-NY1,1,2
L5Y8-6XD,15,1
KD1C-BMC,0,2
KD1C-BMC,6,1
KD1C-BMC,7,1
KHNY-7SN,1,1
9KG5-T1F,2,1
GSC2-XG4,0,1
GSC2-XG4,2,1
GSCT-4SG,8,1
GSCT-4SG,8,3
LT2V-HFD,8,1
LT2V-HFD,8,3
GSCY-39F,4,1
GSCY-39F,6,2
GSCY-39F,7,1
LYDL-VP3,2,1
GSC2-628,13,3
GSCT-SK8,3,1
GSCT-SK8,3,2
GM6Q-HGP,4,3
GSCT-PGR,11,1
L46T-LK7,1,3
GSCY-X2B,2,1
GSCT-VFP,1,1
GSCT-VFP,2,1
GSZS-Q7T,11,1
LRFR-W4P,1,1
LRFR-W4P,3,5
GSC1-KBJ,2,1
LCW2-MDT,1,1
LCW2-MDT,1,5
LKVR-JPH,3,2
LKVR-JPH,11,1
GSCR-N3Q,7,1
9ZZF-Z49,10,1
9H5F-G3J,4,1
LR68-2G3,2,1
LR68-2G3,3,5
GSCR-2MS,1,5
GSCR-2MS,18,1
KK79-RCW,3,2
L2MS-6GB,7,1
LVX7-VRW,8,3
GSCR-RDY,0,1
GSCR-RDY,6,1
GSCR-RDY,7,1
GSCT-SRK,0,1
L2T3-WCM,0,2
M439-GNX,0,1
LTFM-7JG,1,1
LTFM-7JG,1,2
LV7M-4TF,5,1
LV7M-4TF,11,1
LV7M-4TF,17,1
LY96-KDB,1,1
GSCK-5B5,1,1
GSCK-2DW,5,1
GSCK-2DW,17,1
LT6G-RZQ,0,1
LT4Y-4ZD,7,1
LT4Y-4ZD,8,2
K25G-D9V,1,1
K25G-D9V,1,6
LT2C-YN2,2,1
GSCB-97P,7,1
GSCB-97P,15,1
LZKH-JF2,1,3
LZKH-JF2,6,1
K824-Z75,9,1
GSCT-4CH,0,1
LTGP-NC9,2,1
GSCK-TKL,0,2
