PID,code,social,honorary_or_political,obs15,professional,professional,gent_club,country_club,frat_order,hereditary,undergrad_club
LHR6-C3R,41,1,0,1.0,0,0,0,0,0,0,0
LHR6-C3R,87,1,0,1.0,0,0,0,0,0,0,0
LHR6-C3R,191,0,0,1.0,1,0,0,0,0,0,0
LHR6-C3R,213,1,0,1.0,0,0,1,0,0,0,0
LRF8-VTY,96,0,0,1.0,1,0,0,0,0,0,0
LRF8-VTY,106,0,0,1.0,1,0,0,0,0,0,0
LRF8-VTY,190,0,0,1.0,1,0,0,0,0,0,0
LRF8-VTY,191,0,0,1.0,1,0,0,0,0,0,0
LRF8-VTY,263,0,0,1.0,1,0,0,0,0,0,0
L2ZY-NFC,197,0,0,1.0,1,0,0,0,0,0,0
LVHY-W7D,7,0,1,1.0,1,0,0,0,0,0,0
LVHY-W7D,208,1,1,1.0,0,0,0,0,0,0,0
L2GJ-NFV,19,0,0,1.0,1,0,0,0,0,0,0
L2GJ-NFV,32,1,0,1.0,0,0,0,1,0,0,0
L2GJ-NFV,46,1,0,1.0,0,0,0,0,0,0,0
L2GJ-NFV,59,1,0,1.0,0,0,0,0,1,0,0
L2GJ-NFV,85,1,0,1.0,0,0,0,1,0,0,0
L2GJ-NFV,87,1,0,1.0,0,0,0,0,0,0,0
L2GJ-NFV,175,0,0,1.0,1,0,0,0,0,0,0
L2GJ-NFV,188,1,0,1.0,0,0,0,0,0,0,0
KVVM-KKJ,41,1,0,1.0,0,0,0,0,0,0,0
KVVM-KKJ,85,1,0,1.0,0,0,0,1,0,0,0
KVVM-KKJ,87,1,0,1.0,0,0,0,0,0,0,0
KVVM-KKJ,124,1,0,1.0,0,0,0,1,0,0,0
KVVM-KKJ,125,1,0,1.0,0,0,0,1,0,0,0
KVVM-KKJ,169,1,0,1.0,0,0,0,1,0,0,0
KN6Y-1FZ,5,0,0,1.0,1,0,0,0,0,0,0
KN6Y-1FZ,26,0,0,1.0,1,0,0,0,0,0,0
KN6Y-1FZ,46,1,0,1.0,0,0,0,0,0,0,0
KN6Y-1FZ,87,1,0,1.0,0,0,0,0,0,0,0
KN6Y-1FZ,153,0,0,1.0,1,0,0,0,0,0,0
KN6Y-1FZ,168,0,0,1.0,1,0,0,0,0,0,0
LC6G-QT4,177,1,0,1.0,0,0,0,0,0,0,0
LC6G-QT4,188,1,0,1.0,0,0,0,0,0,0,0
GSCT-G9S,32,1,0,1.0,0,0,0,1,0,0,0
GSCT-G9S,46,1,0,1.0,0,0,0,0,0,0,0
GSCT-G9S,71,1,0,1.0,0,0,1,0,0,0,0
GSCT-G9S,87,1,0,1.0,0,0,0,0,0,0,0
GSCT-G9S,169,1,0,1.0,0,0,0,1,0,0,0
