PID,category code,subcategory code
L4RQ-949,18,1
L4YZ-Z73,18,1
L51H-391,8,2
L52Z-PSP,12,2
L565-WN5,1,1
L566-MD9,4,1
L5BB-5DL,1,5
L5D3-DP3,0,2
L5D3-DP3,3,1
L5D3-DP3,6,9
L5D3-DP3,13,1
L5K8-436,0,1
L5KH-39X,1,1
L5KK-59Y,13,2
L5NH-9ZG,0,1
L5NH-9ZG,4,1
L5VL-QPV,0,2
L5Y8-6XD,15,1
L5ZB-85Q,8,1
L5ZB-85Q,8,2
L63D-WJ4,1,1
L64J-3WG,1,1
L6CS-HHJ,3,4
L6CS-HHJ,8,1
L6CS-HHJ,10,1
L6F8-9MF,2,1
L6FX-K41,1,1
L6PQ-WY4,2,1
L6PV-K93,2,1
L6PV-VCD,0,2
L6VX-38D,0,2
L6XY-LZ9,15,1
L74G-89P,2,1
L77R-H9J,0,1
L77R-H9J,3,4
L79K-8T5,2,1
L7CP-ZN9,0,2
L7FN-VPB,2,1
L7HN-VJQ,11,1
L7L2-QTL,1,4
L7MN-F8S,0,1
L7MN-F8S,6,2
L7NH-HM9,6,7
L7NH-HM9,7,1
L7SM-4VS,5,1
L7SM-4VS,6,2
L7WR-5T9,7,1
L7XS-1MZ,3,2
L7XS-1MZ,3,3
L7Z5-5CG,0,1
L7Z5-5CG,14,2
L84M-CM4,1,1
L84M-CM4,2,1
L84W-DQG,13,1
L878-XM9,9,1
L87J-TBK,0,2
L87J-TBK,1,1
L89M-18J,4,1
L89P-SSK,3,1
L89P-SSK,3,2
L8MH-PQZ,13,2
L8RP-89F,9,1
L8S8-4NW,0,1
L8S8-4NW,1,1
L8S8-4NW,1,2
LB14-GR4,0,2
LB14-GR4,4,1
LB1Q-M4X,2,1
LB2J-XS4,1,1
LB3G-YNR,1,3
LB3G-YNR,1,4
LB5V-83S,0,2
LB5V-83S,7,1
LB6G-8Z3,4,1
LB7P-1FC,7,1
LB7P-1FC,13,2
LBCZ-QT7,14,2
LBD9-VCZ,2,1
LBGL-NRY,2,1
LBGZ-7HP,1,5
LBGZ-7HP,3,2
LBL7-H95,2,1
LBW1-VSG,0,2
LBW1-VSG,3,2
LBWY-RZ8,0,2
LBWY-RZ8,1,4
LBWY-RZ8,1,6
LBYR-2BZ,2,1
LC6G-QT4,5,1
LCDP-3JK,7,1
LCFX-NHM,18,1
LCRX-2FD,1,1
LCW2-MDT,1,1
LCW2-MDT,1,5
LCZ7-TXP,5,1
LD19-FLJ,0,1
LD19-FLJ,3,2
LD19-FLJ,6,3
LD19-FLJ,11,1
LD59-2Z5,1,3
LD59-2Z5,3,1
LD59-2Z5,8,1
LD59-2Z5,9,1
LDB2-LDW,4,1
LDJM-GHW,0,2
LDJM-GHW,3,2
LDJT-YRB,2,1
LDRX-9GR,9,1
LDYS-S25,7,1
LFYQ-N8W,14,2
LH6K-T1L,3,2
LHB2-65Z,2,1
LHFN-NZX,6,9
LHFN-NZX,7,1
LHH8-YQ3,3,2
LHNG-NCM,2,1
LHR6-C3R,6,1
LHR6-C3R,13,1
LHRR-2HY,8,2
LHXB-LZ2,1,2
LHYL-FZW,18,1
LHZ1-93R,3,6
LHZ1-93R,5,1
LHZ1-93R,6,2
LJJ1-3DM,1,1
LJJ1-3DM,1,5
LJJ1-3DM,14,1
LJJF-47K,8,1
LJL5-5MN,1,1
LJL5-5MN,1,2
LJL5-5MN,1,6
LJL5-5MN,3,2
LJL5-5MN,9,1
LJL5-5MN,12,2
LJLL-YLL,12,1
LJN5-BL7,8,2
LJN5-BL7,10,2
LJN5-BL7,12,1
LJP5-778,14,2
LJYF-87L,3,4
LK1Q-Y87,2,1
LK73-MRG,0,1
LK73-MRG,6,1
LK73-MRG,6,9
LKF1-KRC,4,1
LKG3-2KV,8,1
LKGH-RR6,4,1
LKGT-7P7,0,2
LKGT-7P7,4,1
LKGT-7P7,4,2
LKJB-DBQ,0,1
LKJB-DBQ,1,3
LKJB-DBQ,3,4
LKN2-YL2,8,1
LKNT-7LL,2,1
LKS2-HC1,0,1
LKS4-WRL,1,4
LKVR-JPH,3,2
LKVR-JPH,11,1
LKXB-N41,1,1
LKXB-N41,8,2
LKXB-N41,9,1
LKZN-9NQ,11,1
LL9M-9T8,0,2
LL9M-9T8,3,2
LLCH-C93,2,1
LLCH-C93,18,1
LLH5-3LW,0,2
LLH5-3LW,4,1
LLH5-3LW,6,9
LLH5-3LW,7,1
LLW3-F97,2,1
LM9Z-MVL,1,1
LMW5-69D,8,2
LQ1F-PFX,0,1
LQ1F-PFX,1,1
LQB7-Z3N,14,2
LQBB-Z14,0,2
LQBB-Z14,1,6
LQBB-Z14,6,2
LQY1-B1C,0,1
LQY1-B1C,8,1
LQY9-F3B,7,1
LQY9-F3B,8,1
LQY9-F3B,8,2
LR1W-TST,4,1
LR1W-TST,7,1
LR1W-TST,10,1
LR4Z-9LN,7,1
LR5R-WMV,6,1
LR5R-WMV,6,9
LR5R-WMV,13,1
LR5R-WMV,14,2
LR5X-893,8,3
LR68-2G3,2,1
LR68-2G3,3,5
LRBW-G5L,1,1
LRBW-G5L,2,1
LRCP-XBG,2,1
LRF8-VTY,5,1
LRF8-VTY,10,1
LRFR-W4P,1,1
LRFR-W4P,3,5
LRHW-T2R,5,2
LRJQ-7V2,0,1
LRJQ-7V2,0,2
LRJQ-7V2,3,1
LRKB-Z1X,4,3
LRKL-73W,1,1
LRL5-CXT,1,1
LRL5-CXT,1,2
LRM6-KPC,6,2
LRM6-KPC,8,2
LRML-K9Y,3,3
LRP2-9JT,8,1
LRRR-LWN,1,1
LRTW-P4Y,0,1
LRTW-P4Y,6,9
LRX2-S82,5,1
LRXQ-9ZK,5,1
LRXQ-9ZK,6,3
LRXQ-9ZK,12,2
LT11-VL9,7,1
LT1K-D7M,1,1
LT2C-YN2,2,1
LT2V-HFD,8,1
LT2V-HFD,8,3
LT4Y-4ZD,7,1
LT4Y-4ZD,8,2
LT5Y-BRH,0,1
LT5Y-BRH,1,2
LT6F-L53,3,2
LT6G-RZQ,0,1
LT93-C8Y,0,2
LT93-C8Y,3,6
LT96-XS5,5,1
LT96-XS5,12,1
LT9Y-6G1,0,2
LT9Y-6G1,1,1
LTBQ-GWZ,0,1
LTFM-7JG,1,1
LTFM-7JG,1,2
LTGP-NC9,2,1
LTGZ-KGF,1,6
LTJ3-BV8,0,1
LTJ3-BV8,3,5
LTKK-6SR,7,1
LTKK-6SR,10,1
LTLP-F9F,0,1
LTLP-F9F,1,3
LTLP-F9F,1,6
LTLP-F9F,3,5
LTNV-4QL,5,1
LTQS-1XJ,8,1
LTRW-2R7,0,1
LTRW-2R7,6,5
LTRW-2R7,13,1
LTSJ-TXJ,0,1
LTWC-T7Z,1,1
LTWS-6YZ,3,1
LTWS-6YZ,9,1
LTWZ-NRX,4,2
